"","gen","predicted.value","std.error","status","weight","Environment"
"362","geno_17",10118.1374813005,410.957495340949,"Estimable",6.24147555288531e-06,"loc_16"
"363","geno_18",9598.62942467757,401.364224012102,"Estimable",6.61627402956224e-06,"loc_16"
"364","geno_19",9860.6483663481,410.370014201803,"Estimable",6.29085206773584e-06,"loc_16"
"365","geno_20",10228.6719435787,401.953041424665,"Estimable",6.61335835902056e-06,"loc_16"
"366","geno_21",9156.3881469151,402.665062338282,"Estimable",6.55717959979241e-06,"loc_16"
"367","geno_22",9485.12018911503,401.464878972145,"Estimable",6.61627231527143e-06,"loc_16"
"368","geno_23",9741.00716595611,420.276441207327,"Estimable",5.88162431934642e-06,"loc_16"
"369","geno_01",3513.94226664499,115.74132767871,"Estimable",0.00011776978442223,"loc_17"
"370","geno_02",3129.55822405803,115.595141467394,"Estimable",0.000127914464636723,"loc_17"
"371","geno_03",3842.09088245483,116.451362956372,"Estimable",0.000127914464638473,"loc_17"
"372","geno_04",3920.10058592459,110.753290631157,"Estimable",0.000136618055869958,"loc_17"
"373","geno_05",3656.92574844448,120.872526847442,"Estimable",0.000136618092358535,"loc_17"
"374","geno_06",2919.49657885519,118.55936081754,"Estimable",0.000136617831992666,"loc_17"
"375","geno_07",3567.21079394334,107.637892983096,"Estimable",0.000127914403274194,"loc_17"
"376","geno_08",3799.16509531877,118.442646162799,"Estimable",0.000127914464642076,"loc_17"
"377","geno_09",2790.47596162568,112.020470263395,"Estimable",0.000127914464633912,"loc_17"
"378","geno_10",3450.11237956406,107.128841062156,"Estimable",0.000136617996584771,"loc_17"
"379","geno_11",3109.36737044787,126.917958685706,"Estimable",0.000106566180392623,"loc_17"
"380","geno_12",3731.95347413655,112.432045683082,"Estimable",0.000122041962218294,"loc_17"
"381","geno_13",2816.07531535882,120.766265960938,"Estimable",0.000120464312289891,"loc_17"
"382","geno_14",3123.53863882559,112.904715200663,"Estimable",0.000136617743853287,"loc_17"
"383","geno_15",3862.31450097582,106.967674037872,"Estimable",0.000150707161601531,"loc_17"
"384","geno_16",3702.38187709366,98.0242251503908,"Estimable",0.000194721516446931,"loc_17"
"385","geno_17",3171.87004626371,99.2176235352706,"Estimable",0.000178728469294548,"loc_17"
"386","geno_18",3415.53742591082,94.7302473274019,"Estimable",0.000194721469863714,"loc_17"
"387","geno_19",3274.55017545969,116.179169550797,"Estimable",0.000134422412002811,"loc_17"
"388","geno_20",4276.19860771131,107.681496081498,"Estimable",0.000136617866524292,"loc_17"
"389","geno_21",3600.26032737465,99.7416439861377,"Estimable",0.000156913793853396,"loc_17"
"390","geno_22",3253.37168738442,93.5776037978014,"Estimable",0.000194721217338262,"loc_17"
"391","geno_23",2526.45009337587,128.208474139033,"Estimable",0.000124663815895211,"loc_17"
"392","geno_01",3816.98014718211,148.675566850784,"Estimable",5.65646191615102e-05,"loc_18"
"393","geno_02",2025.16678240241,149.158898833713,"Estimable",5.82831673094236e-05,"loc_18"
"394","geno_03",2596.29286459777,146.572250640635,"Estimable",5.82831673094237e-05,"loc_18"
